A00-B99;;;;;A00-B99. ДЕЯКІ ІНФЕКЦІЙНІ ТА ПАРАЗИТАРНІ ХВОРОБИ;;
;;;A05.30;;Харчове отруєння, спричинене Vіbrіo parahaemolytіcus;;
;;;A05.40;;Харчове отруєння, спричинене Bacіllus cereus;;
;;;A05.80;;Iнші уточнені бактеріальні харчові отруєння;;
;;;A05.90;;Бактеріальне харчове отруєння, неуточнене;;
;;A06;;;A06. Амебіаз;;
;;;A06.00;;Гостра амебна дизентерія;;
;;;A06.10;;Хронічний кишковий амебіаз;;
;;;A06.20;;Амебний недизентерійний коліт;;
;;;A06.30;;Амебома кишечнику;;
;;;A06.40;;Амебний печінковий абсцес;;
;;;A06.50;;Амебний легеневий абсцес (J99.8);;
;;;A06.60;;Амебний абсцес головного мозку (G07);;
;;;A06.70;;Шкірний амебіаз;;
;;;A06.80;;Амебна інфекція іншої локалізації;;
;;;A06.90;;Амебіаз, неуточнений;;
;;A07;;;A07. Iнші протозойні кишкові хвороби;;
;;;A07.00;;Балантидіаз;;
;;;A07.10;;Лямбліоз;;
;;;A07.20;;Криптоспоридіоз;;
;;;A07.30;;Iзоспороз;;
;;;A07.80;;Iнші уточнені протозойні кишкові хвороби;;
;;;A07.90;;Протозойна кишкова хвороба, неуточнена;;
;;A08;;;A08. Вірусні та інші уточнені кишкові інфекції;;
;;;A08.00;;Ротавірусний ентерит;;
;;;A08.10;;Гостра гастроентеропатія, спричинена збудником Norwоlk;;
;;;A08.20;;Аденовірусний ентерит;;
;;;A08.30;;Iнший вірусний ентерит;;
;;;A08.40;;Вірусна кишкова інфекція, неуточнена;;
;;;A08.50;;Iнші уточнені кишкові інфекції;;
;;A09;;;A09. Діарея та гастроентерит здогадно інфекційного походження;;
;;;A09.00;;Діарея та гастроентерит здогадно інфекційного походження;;
;A15-A19;;;;A15-A19. Туберкульоз;;
;;A15;;;A15. Туберкульоз органів дихання, підтверджений бактеріологічно та гістологічно;;
;;;A15.00;;Туберкульоз легенів, підтверджений бактеріоскопічно з наявністю чи відсутністю росту культури;;
;;;A15.10;;Туберкульоз легенів, підтверджений лише ростом культури;;
;;;A15.20;;Туберкульоз легенів, підтверджений гістологічно;;
;;;A15.30;;Туберкульоз легенів, підтверджений неуточненими способами;;
;;;A15.40;;Туберкульоз внутрішньогрудних лімфатичних вузлів, підтверджений бактеріологічно та гістологічно ;;
;;;A15.50;;Туберкульоз гортані, трахеї та бронхів, підтверджений бактеріологічно та гістологічно;;
;;;A15.60;;Туберкульозний плеврит, підтверджений бактеріологічно та гістологічно;;
;;;A15.70;;Первинний туберкульоз органів дихання, підтверджений бактеріологічно та гістологічно;;
;;;A15.80;;Туберкульоз інших органів дихання, підтверджений бактеріологічно та гістологічно;;
;;;A15.90;;Туберкульоз органів дихання, неуточнений, підтверджений бактеріологічно та гістологічно;;
;;A16;;;A16. Туберкульоз органів дихання, не підтверджений бактеріологічно та гістологічно;;
;;;A16.00;;Туберкульоз легенів, бактеріологічно та гістологічно не підтверджений;;
;;;A16.10;;Туберкульоз легенів без проведення бактеріологічного та гістологічного дослідження;;
;;;A16.20;;Туберкульоз легенів без посилання на бактеріологічне чи гістологічне підтвердження;;
;;;A16.30;;Туберкульоз внутрішньогрудних лімфатичних вузлів, без посилання на бактеріологічне чи гістологічне підтвердження;;
;;;A16.40;;Туберкульоз гортані, трахеї та бронхів, без посилання на бактеріологічне чи гістологічне підтвердження ;;
;;;A16.50;;Туберкульозний плеврит, без посилання на бактеріологічне та гістологічне підтвердження;;
;;;A16.70;;Первинний туберкульоз органів дихання, без посилання на бактеріологічне та гістологічне підтвердження;;
;;;A16.80;;Туберкульоз інших органів дихання, без посилання на бактеріологічне та гістологічне підтвердження;;
;;;A16.90;;Туберкульоз органів дихання неуточнений, без посилання на бактеріологічне та гістологічне підтвердження;;
;;A17;;;A17. Туберкульоз нервової системи;;
;;;A17.00;;Туберкульозний менінгіт (G01) ;;
;;;A17.10;;Менінгеальна туберкульома (G07);;
;;;A17.80;;Туберкульоз нервової системи інших локалізацій ;;
;;;A17.90;;Туберкульоз нервової системи, неуточнений (G99.8);;
;;A18;;;A18. Туберкульоз інших органів;;
;;;A18.00;;Туберкульоз кісток та суглобів ;;
;;;A18.10;;Туберкульоз сечостатевих органів;;
;;;A18.20;;Туберкульозна периферична лімфаденопатія;;
;;;A18.30;;Туберкульоз кишечнику, очеревини та брижових лімфатичних вузлів;;
;;;A18.40;;Туберкульоз шкіри та підшкірної клітковини;;
;;;A18.50;;Туберкульоз ока;;
;;;A18.60;;Туберкульоз вуха;;
;;;A18.70;;Туберкульоз надниркових залоз (Е35.1) Хвороба Аддісона туберкульозної етіології ;;
;;;A18.80;;Туберкульоз інших уточнених органів;;
;;A19;;;A19. Міліарний туберкульоз;;
;;;A19.00;;Гострий міліарний туберкульоз однієї уточненої локалізації;;
;;;A19.10;;Гострий міліарний туберкульоз множинних локалізацій;;
;;;A19.20;;Гострий міліарний туберкульоз неуточненої локалізації;;
;;;A19.80;;Iнші форми міліарного туберкульозу;;
;;;A19.90;;Міліарний туберкульоз неуточненої локалізації;;
;A20-A28;;;;A20-A28. Деякі зоонозні бактеріальні хвороби;;
;;A20;;;A20. Чума;;
;;;A20.00;;Бубонна чума;;
;;;A20.10;;Целюлярношкірна чума;;
;;;A20.20;;Легенева чума;;
;;;A20.30;;Чумний менінгіт;;
;;;A20.70;;Септична чума;;
;;;A20.80;;Iнші форми чуми;;
;;;A20.90;;Чума, неуточнена;;
;;A21;;;A21. Туляремія;;
;;;A21.00;;Ульцерогландулярна туляремія;;
;;;A21.10;;Окулогландулярна туляремія;;
;;;A21.20;;Легенева туляремія;;
;;;A21.30;;Шлунковокишкова туляремія;;
;;;A21.70;;Генералізована туляремія;;
;;;A21.80;;Iнші форми туляремії;;
;;;A21.90;;Туляремія, неуточнена;;
;;A22;;;A22. Сибірська виразка;;
;;;A22.00;;Шкірна форма сибірської виразки;;
;;;A22.10;;Легенева форма сибірської виразки;;
;;;A22.20;;Шлунковокишкова форма сибірської виразки;;
;;;A22.70;;Сибірська виразка септична;;
;;;A22.80;;Iнші форми сибірської виразки;;
;;;A22.90;;Сибірська виразка, неуточнена;;
;;A23;;;A23. Бруцельоз;;
;;;A23.00;;Бруцельоз, спричинений Brucella melіtensіs;;
;;;A23.10;;Бруцельоз, спричинений Brucella abortus;;
;;;A23.20;;Бруцельоз, спричинений Brucella suіs;;
;;;A23.30;;Бруцельоз, спричинений Brucella canіs;;
;;;A23.80;;Iнші форми бруцельозу;;
;;;A23.90;;Бруцельоз, неуточнений;;
;;A24;;;A24. Сап та меліоїдоз;;
;;;A24.00;;Сап;;
;;;A24.10;;Гострий або блискавичний меліоїдоз;;
;;;A24.20;;Підгострий та хронічний меліоїдоз;;
;;;A24.30;;Iнший уточнений меліоїдоз;;
;;;A24.40;;Меліоїдоз, неуточнений;;
;;A25;;;A25. Гарячки від укусу пацюків;;
;;;A25.00;;Спірильоз;;
;;;A25.10;;Стрептобацильоз;;
;;;A25.90;;Гарячка від укусу пацюка, неуточнена;;
;;A26;;;A26. Еризипелоїд;;
;;;A26.00;;Еризипелоїд шкіри;;
;;;A26.70;;Еризипелоїдна септицемія;;
;;;A26.80;;Iнші форми еризипелоїду;;
;;;A26.90;;Еризипелоїд, неуточнений;;
;;A27;;;A27. Лептоспіроз;;
;;;A27.00;;Лептоспіроз жовтушногеморагічний;;
;;;A27.80;;Iнші форми лептоспірозу;;
;;;A27.90;;Лептоспіроз, неуточнений;;
;;A28;;;A28. Iнші бактеріальні зоонози, не класифіковані в інших рубриках;;
;;;A28.00;;Пастерельоз;;
;;;A28.10;;Хвороба від котячих подряпин;;
;;;A28.20;;Позакишковий ієрсиніоз;;
;;;A28.80;;Iнші уточнені зоонозні бактеріальні хвороби, не класифіковані в інших рубриках;;
;;;A28.90;;Зоонозні бактеріальні хвороби, неуточнені;;
;A30-A49;;;;A30-A49. Інші бактеріальні хвороби;;
;;A30;;;A30. Лепра (хвороба Гансена);;
;;;A30.00;;Недиференційована лепра;;
;;;A30.10;;Туберкулоїдна лепра ;;
;;;A30.20;;Погранична туберкулоїдна лепра;;
;;;A30.30;;Погранична лепра;;
;;;A30.40;;Погранична лепроматозна лепра;;
;;;A30.50;;Лепроматозна лепра;;
;;;A30.80;;Iнші форми лепри;;
;;;A30.90;;Лепра, неуточнена;;
;;A31;;;A31. Iнфекція, зумовлена іншими мікобактеріями;;
;;;A31.00;;Легенева мікобактеріальна інфекція ;;
;;;A31.10;;Шкірні мікобактеріальні інфекції ;;
;;;A31.80;;Iнші мікобактеріальні інфекції;;
;;;A31.90;;Мікобактеріальна інфекція, неуточнена;;
;;A32;;;A32. Лістеріоз;;
;;;A32.00;;Шкірний лістеріоз;;
;;;A32.10;;Лістеріозний менінгіт та менінгоенцефаліт;;
;;;A32.70;;Лістеріозна септицемія;;
;;;A32.80;;Iнші форми лістеріозу;;
;;;A32.90;;Лістеріоз,  неуточнений;;
;;A33;;;A33. Правець новонародженого;;
;;;A33.00;;Правець новонародженого;;
;;A34;;;A34. Акушерський правець;;
;;;A34.00;;Акушерський правець;;
;;A35;;;A35. Iнші види правця ;;
;;;A35.00;;Iнші види правця ;;
;;A36;;;A36. Дифтерія;;
;;;A36.00;;Дифтерія глотки;;
;;;A36.10;;Дифтерія носоглотки;;
;;;A36.20;;Дифтерія гортані;;
;;;A36.30;;Дифтерія шкіри;;
;;;A36.80;;Iнша дифтерія;;
;;;A36.90;;Дифтерія, неуточнена;;
;;A37;;;A37. Коклюш;;
;;;A37.00;;Коклюш, спричинений Bordetella pertussіs;;
;;;A37.10;;Коклюш,  спричинений Bordetella parapertussіs;;
;;;A37.80;;Коклюш, спричинений Bordetella specіes;;
;;;A37.90;;Коклюш, неуточнений;;
;;A38;;;A38. Скарлатина;;
;;;A38.00;;Скарлатина;;
;;A39;;;A39. Менінгококова інфекція;;
;;;A39.00;;Менінгококовий менінгіт (G01);;
;;;A39.10;;Синдром УотерхаусаФрідеріксена (Е35.1);;
;;;A39.20;;Гостра менінгококцемія;;
;;;A39.30;;Хронічна менінгококцемія;;
;;;A39.40;;Менінгококцемія, неуточнена;;
;;;A39.50;;Менінгококова хвороба серця ;;
;;;A39.80;;Iнші менінгококові інфекції;;
;;;A39.90;;Менінгококова інфекція, неуточнена;;
;;A40;;;A40. Стрептококова септицемія;;
;;;A40.00;;Септицемія  стрептококова , групи А;;
;;;A40.10;;Септицемія стрептококова, групи В;;
;;;A40.20;;Септицемія стрептококова, групи D;;
;;;A40.30;;Септицемія, спричинена Streptocoсcus pneumonіae;;
;;;A40.80;;Iнша стрептококова септицемія;;
;;;A40.90;;Стрептококова септицемія, неуточнена;;
;;A41;;;A41. Iнші септицемії;;
;;;A41.00;;Септицемія, спричинена Staphylococcus aureus;;
;;;A41.10;;Септицемія, спричинена іншим уточненим стафілококом;;
;;;A41.20;;Септицемія, спричинена неуточненим стафілококом;;
;;;A41.30;;Септицемія, спричинена Haemophіlus іnfluenzae;;
;;;A41.40;;Септицемія, спричинена анаеробним збудником;;
;;;A41.50;;Септицемія, спричинена іншими грамнегативними мікроорганізмами;;
;;;A41.80;;Iнша уточнена септицемія;;
;;;A41.90;;Септицемія, неуточнена;;
;;A42;;;A42. Актиномікоз;;
;;;A42.00;;Легеневий актиномікоз;;
;;;A42.10;;Черевний актиномікоз;;
;;;A42.20;;Шийнолицьовий актиномікоз;;
;;;A42.70;;Актиномікозна септицемія;;
;;;A42.80;;Iнші форми актиномікозу;;
;;;A42.90;;Актиномікоз, неуточнений;;
;;A43;;;A43. Нокардіоз;;
;;;A43.00;;Легеневий нокардіоз;;
;;;A43.10;;Шкірний нокардіоз;;
;;;A43.80;;Iнші форми нокардіозу;;
;;;A43.90;;Нокардіоз, неуточнений;;
;;A44;;;A44. Бартонельоз;;
;;;A44.00;;Системний бартонельоз;;
;;;A44.10;;Шкірний та шкірнослизовий бартонельоз;;
;;;A44.80;;Iнші форми бартонельозу;;
;;;A44.90;;Бартонельоз, неуточнений;;
;;A46;;;A46.  Бешиха;;
;;;A46.00;; Бешиха;;
;;A48;;;A48. Iнші бактеріальні хвороби, не класифіковані в інших рубриках;;
;;;A48.00;;Газова гангрена;;
;;;A48.10;;Хвороба легіонерів;;
;;;A48.20;;Хвороба легіонерів без пневмонії (гарячка Понтіак) ;;
;;;A48.30;;Токсичний шоковий синдром;;
;;;A48.40;;Бразильська пурпурна гарячка;;
;;;A48.80;;Iнші уточнені бактеріальні хвороби ;;
;;A49;;;A49. Бактеріальна інфекція неуточненої локалізації;;
;;;A49.00;;Стафілококова інфекція, неуточнена;;
;;;A49.10;;Стрептококова інфекція, неуточнена;;
;;;A49.20;;Iнфекція, спричинена Haemophіlus іnfluenzae, неуточнена;;
;;;A49.30;;Інфекція, спричинена мікоплазмою, неуточнена;;
;;;A49.80;;Iнші бактеріальні інфекції неуточненої локалізації;;
;;;A49.90;;Бактеріальна  інфекція, неуточнена;;
;A50-A64;;;;A50-A64. Інфекційні хвороби, що передаються переважно статевим шляхом;;
;;A50;;;A50. Вроджений сифіліс;;
;;;A50.00;;Ранній вроджений сифіліс симптоматичний;;
;;;A50.10;;Ранній вроджений сифіліс латентний;;
;;;A50.20;;Ранній вроджений сифіліс, неуточнений;;
;;;A50.30;;Пізня вроджена сифілітична офтальмопатія;;
;;;A50.40;;Пізній вроджений нейросифіліс (ювенільний нейросифіліс);;
;;;A50.50;;Iнші форми пізнього вродженого сифілісу з симптомами;;
;;;A50.60;;Пізній вроджений сифіліс латентний;;
;;;A50.70;;Пізній вроджений сифіліс, неуточнений;;
;;;A50.90;;Вроджений сифіліс, неуточнений;;
;;A51;;;A51. Ранній сифіліс;;
;;;A51.00;;Первинний сифіліс статевих органів;;
;;;A51.10;;Первинний сифіліс анальної області;;
;;;A51.20;;Первинний сифіліс іншої локалізації;;
;;;A51.30;;Вторинний сифіліс шкіри та слизових оболонок;;
;;;A51.40;;Iнші форми вторинного сифілісу;;
;;;A51.50;;Ранній сифіліс латентний;;
;;;A51.90;;Ранній сифіліс, неуточнений;;
;;A52;;;A52. Пізній сифіліс;;
;;;A52.00;;Сифіліс серцевосудинної системи ;;
;;;A52.10;;Симптоматичний нейросифіліс;;
;;;A52.20;;Безсимптомний нейросифіліс;;
;;;A52.30;;Нейросифіліс, неуточнений;;
;;;A52.70;;Iнші симптоми пізнього сифілісу;;
;;;A52.80;;Пізній сифіліс латентний;;
;;;A52.90;;Пізній сифіліс, неуточнений;;
;;A53;;;A53. Iнші та неуточнені форми сифілісу;;
;;;A53.00;;Латентний сифіліс, неуточнений як ранній або пізній;;
;;;A53.90;;Сифіліс, неуточнений;;
;;A54;;;A54. Гонококова інфекція;;
;;;A54.00;;Гонококова інфекція нижнього відділу сечостатевого тракту без абсцедування періуретральних або придаткових залоз ;;
;;;A54.10;;Гонококова інфекція нижнього відділу сечостатевого тракту з абсцесом періуретральних або придаткових залоз;;
;;;A54.20;;Гонококовий тазовий перитоніт та інші гонококові сечостатеві інфекції;;
;;;A54.30;;Гонококова  інфекція ока;;
;;;A54.40;;Гонококова інфекція кістковом’язової системи ;;
;;;A54.50;;Гонококовий фарингіт;;
;;;A54.60;;Гонококова інфекція аноректальної області;;
;;;A54.80;;Iнші гонококові інфекції;;
;;;A54.90;;Гонококова інфекція, неуточнена;;
;;A55;;;A55. Хламідійна лімфогранульома (венерична);;
;;;A55.00;;Хламідійна лімфогранульома (венерична);;
;;A56;;;A56. Iнші хвороби, спричинені хламідіями, що передаються статевим шляхом;;
;;;A56.00;;Хламідійні інфекції нижнього відділу сечостатевого тракту;;
;;;A56.10;;Хламідійні інфекції тазових та інших сечостатевих органів;;
;;;A56.20;;Хламідійна інфекція сечостатевого тракту, неуточнена;;
;;;A56.30;;Хламідійна інфекція аноректальної області;;
;;;A56.40;;Хламідійний фарингіт;;
;;;A56.80;;Хламідійна інфекція, що передається статевим шляхом іншої локалізації;;
;;A57;;;A57. Шанкроїд;;
;;;A57.00;;Шанкроїд;;
;;A58;;;A58. Пахова гранульома;;
;;;A58.00;;Пахова гранульома;;
;;A59;;;A59. Трихомоніаз;;
;;;A59.00;;Урогенітальний трихомоніаз;;
;;;A59.80;;Трихомоніаз інших локалізацій;;
;;;A59.90;;Трихомоніаз, неуточнений;;
;;A60;;;A60. Аногенітальні герпесвірусні інфекції (герпес простий);;
;;;A60.00;;Герпесвірусна інфекція генітальна та урогенітальна;;
;;;A60.10;;Герпесвірусна інфекція навколоанальної  області та прямої кишки;;
;;;A60.90;;Герпесвірусна інфекція аногенітальна, неуточнена;;
;;A63;;;A63. Iнші хвороби, що передаються переважно статевим шляхом, не класифіковані в інших рубриках;;
;;;A63.00;;Аногенітальні бородавки (венеричні);;
;;;A63.80;;Iнші уточнені хвороби, що передаються переважно статевим шляхом;;
;;A64;;;A64. Неуточнені хвороби, що передаються статевим шляхом ;;
;;;A64.00;;Неуточнені хвороби, що передаються статевим шляхом ;;
;A65-A69;;;;A65-A69. Інші хвороби, спричинені спірохетами;;
;;A65;;;A65. Невенеричний сифіліс;;
;;;A65.00;;Невенеричний сифіліс;;
;;A66;;;A66. Фрамбезія;;
;;;A66.00;;Первинне ушкодження при фрамбезії;;
;;;A66.10;;Множинні папіломи та піанома підошви;;
;;;A66.20;;Iнші ранні ушкодження шкіри при фрамбезії;;
;;;A66.30;;Гіперкератоз при фрамбезії;;
;;;A66.40;;Гуми та виразки при фрамбезії;;
;;;A66.50;;Деструктивний назофарингіт при фрамбезії;;
;;;A66.60;;Ушкодження кісток та суглобів при фрамбезії;;
;;;A66.70;;Iнші прояви фрамбезії;;
;;;A66.80;;Латентна фрамбезія;;
;;;A66.90;;Фрамбезія, неуточнена;;
;;A67;;;A67. Пінта (карате);;
;;;A67.00;;Первинні ушкодження при пінті;;
;;;A67.10;;Проміжні ушкодження при пінті;;
;;;A67.20;;Пізні ушкодження при пінті;;
;;;A67.30;;Змішані ушкодження при пінті;;
;;;A67.90;;Пінта, неуточнена;;
;;A68;;;A68. Рецидивні гарячки;;
;;;A68.00;;Рецидивна гарячка внаслідок вошивості ;;
;;;A68.10;;Епідемічний рецидивний тиф;;
;;;A68.90;;Рецидивна гарячка, неуточнена;;
;;A69;;;A69. Iнші інфекції, спричинені спірохетами ;;
;;;A69.00;;Некротизуючий виразковий стоматит;;
;;;A69.10;;Iнші інфекції Венсана;;
;;;A69.20;;Хвороба Лайма;;
;;;A69.80;;Iнші уточнені спірохетозні інфекції;;
;;;A69.90;;Спірохетозна інфекція, неуточнена;;
;A70-A74;;;;A70-A74. Інші хвороби, спричинені хламідіями;;
;;A70;;;A70. Iнфекції, спричинені Chlamydіa psіttacі;;
;;;A70.00;;Iнфекції, спричинені Chlamydіa psіttacі;;
;;A71;;;A71. Трахома;;
;;;A71.00;;Початкова стадія трахоми;;
;;;A71.10;;Активна стадія трахоми;;
;;;A71.90;;Трахома, неуточнена;;
;;A74;;;A74. Iнші хвороби, спричинені хламідіями;;
;;;A74.00;;Хламідійний кон’юнктивіт (Н13.1);;
;;;A74.80;;Iнші хламідійні хвороби;;
;;;A74.90;;Хламідійна інфекція, неуточнена;;
;A75-A79;;;;A75-A79. Рикетсіози;;
;;A75;;;A75. Висипний тиф;;
;;;A75.00;;Епідемічний висипний вошиний тиф, зумовлений Rіckettsіa prowazekіі;;
;;;A75.10;;Рецидивний тиф (хвороба Брілла);;
;;;A75.20;;Висипний тиф, спричинений Rіckettsіa typhі;;
;;;A75.30;;Висипний тиф, спричинений Rіckettsіa tsutsugamushі;;
;;;A75.90;;Висипний тиф, неуточнений;;
;;A77;;;A77. Плямиста гарячка (кліщові рикетсіози);;
;;;A77.00;;Плямиста гарячка, спричинена Rіckettsіa rіckettsіі;;
;;;A77.10;;Плямиста гарячка, спричинена Rіckettsіa conorіі;;
;;;A77.20;;Плямиста гарячка, спричинена Rіckettsіa sіberіca;;
;;;A77.30;;Плямиста гарячка, спричинена Rіckettsіa australіs;;
;;;A77.80;;Iнші плямисті гарячки;;
;;;A77.90;;Плямиста гарячка, неуточнена;;
;;A78;;;A78. Гарячка Ку;;
;;;A78.00;;Гарячка Ку;;
;;A79;;;A79. Iнші рикетсіози;;
;;;A79.00;;Окопна (пароксизмальна) гарячка;;
;;;A79.10;;Рикетсіозна віспа, спричинена Rіckettsіa akarі;;
;;;A79.80;;Iнші уточнені рикетсіози;;
;;;A79.90;;Рикетсіоз, неуточнений;;
;A80-A89;;;;A80-A89. Вірусні інфекційні хвороби центральної нервової системи;;
;;A80;;;A80. Гострий поліомієліт;;
;;;A80.00;;Гострий паралітичний поліомієліт, асоційований з вакциною;;
;;;A80.10;;Гострий паралітичний поліомієліт, спричинений диким вірусом, завезеним;;
;;;A80.20;;Гострий паралітичний поліомієліт, спричинений диким природним вірусом;;
;;;A80.30;;Гострий паралітичний поліомієліт, інший та неуточнений;;
;;;A80.40;;Гострий непаралітичний поліомієліт;;
;;;A80.90;;Гострий поліомієліт, неуточнений;;
;;A81;;;A81. Повільні вірусні інфекції центральної нервової системи;;
;;;A81.00;;Хвороба КрейтцфельдтаЯкоба;;
;;;A81.10;;Підгострий склерозуючий паненцефаліт;;
;;;A81.20;;Прогресуюча багатовогнищева лейкоенцефалопатія;;
;;;A81.80;;Iнші повільні вірусні інфекції центральної  нервової системи;;
;;;A81.90;;Повільна вірусна інфекція центральної       нервової системи, неуточнена;;
;;A82;;;A82. Сказ;;
;;;A82.00;;Сказ лісовий;;
;;;A82.10;;Сказ міський;;
;;;A82.90;;Сказ, неуточнений;;
;;A83;;;A83. Комариний вірусний енцефаліт;;
;;;A83.00;;Японський енцефаліт;;
;;;A83.10;;Західний кінський енцефаліт;;
;;;A83.20;;Східний кінський енцефаліт;;
;;;A83.30;;Енцефаліт СентЛуїс;;
;;;A83.40;;Австралійський енцефаліт;;
;;;A83.50;;Каліфорнійський енцефаліт;;
;;;A83.60;;Хвороба, спричинена вірусом Роціо;;
;;;A83.80;;Iнший комариний вірусний енцефаліт;;
;;;A83.90;;Комариний вірусний енцефаліт, неуточнений;;
;;A84;;;A84. Кліщовий вірусний енцефаліт;;
;;;A84.00;;Далекосхідний кліщовий енцефаліт (російський веснянолітній енцефаліт);;
;;;A84.10;;Центральноєвропейський кліщовий енцефаліт;;
;;;A84.80;;Iнший кліщовий вірусний енцефаліт;;
;;;A84.90;;Кліщовий вірусний енцефаліт, неуточнений;;
;;A85;;;A85. Iнші вірусні енцефаліти, не класифіковані в інших рубриках;;
;;;A85.00;;Ентеровірусний енцефаліт (G05.1);;
;;;A85.10;;Аденовірусний енцефаліт (G05.1);;
;;;A85.20;;Вірусний енцефаліт, що переноситься членистоногими, неуточнений;;
;;;A85.80;;Iнші уточнені вірусні енцефаліти;;
;;;A86.00;;Неуточнений вірусний енцефаліт         ;;
;;A87;;;A87. Вірусний менінгіт;;
;;;A87.00;;Ентеровірусний менінгіт (G02.0);;
;;;A87.10;;Аденовірусний менінгіт (G02.0) ;;
;;;A87.20;;Лімфоцитарний хоріоменінгіт;;
;;;A87.80;;Iнший вірусний менінгіт;;
;;;A87.90;;Вірусний менінгіт, неуточнений;;
;;A88;;;A88. Iнші вірусні інфекційні хвороби центральної  нервової системи, не класифіковані в інших рубриках ;;
;;;A88.00;;Ентеровірусна екзантематозна гарячка (Бостонська екзантема);;
;;;A88.10;;Епідемічне запаморочення;;
;;;A88.80;;Iнші уточнені вірусні інфекційні хвороби центральної нервової системи;;
;;A89;;;A89. Вірусна інфекційна хвороба центральної нервової системи, неуточнена;;
;;;A89.00;;Вірусна інфекційна хвороба центральної нервової системи, неуточнена;;
;A90-A99;;;;A90-A99. Вірусні горячки та вірусні геморагічні горячки, що переносяться членистоногими;;
;;A90;;;A90. Гарячка денге (класична гарячка денге) ;;
;;;A90.00;;Гарячка денге (класична гарячка денге) ;;
;;A91;;;A91. Геморагічна гарячка денге;;
;;;A91.00;;Геморагічна гарячка денге;;
;;A92;;;A92. Iнші вірусні гарячки, що переносяться комарами ;;
;;;A92.00;;Вірусна хвороба Чикунгунья;;
;;;A92.10;;Гарячка О'НьонгНьонг;;
;;;A92.20;;Венесуельська кінська гарячка;;
;;;A92.30;;Гарячка Західного Нілу;;
;;;A92.40;;Гарячка РифтВаллі;;
;;;A92.80;;Iнші уточнені комарині вірусні гарячки;;
;;;A92.90;;Комарина вірусна гарячка, неуточнена;;
;;A93;;;A93. Iнші вірусні гарячки, які передаються членистоногими, не класифіковані в інших рубриках;;
;;;A93.00;;Вірусна хвороба Оропуш;;
;;;A93.10;;Москітна гарячка;;
;;;A93.20;;Гарячка колорадська;;
;;;A93.80;;Iнші уточнені вірусні гарячки, що передаються членистоногими;;
;;A94;;;A94. Вірусна гарячка, що переноситься членистоногими, неуточнена;;
;;;A94.00;;Вірусна гарячка, що переноситься членистоногими, неуточнена;;
;;A95;;;A95. Жовта гарячка;;
;;;A95.00;;Лісова жовта гарячка;;
;;;A95.10;;Міська жовта гарячка;;
;;;A95.90;;Жовта гарячка, неуточнена;;
;;A96;;;A96. Ареновірусна геморагічна гарячка ;;
;;;A96.00;;Геморагічна гарячка Хунін;;
;;;A96.10;;Геморагічна гарячка Мачупо;;
;;;A96.20;;Гарячка Ласса;;
;;;A96.80;;Iнша ареновірусна геморагічна гарячка;;
;;;A96.90;;Ареновірусна геморагічна гарячка, неуточнена;;
