InternationalName,Name
Amoxicillin,Амоксіциллін
Amoxicillin and beta-lactamase inhibitor,Амоксіциллін з інгібітором бета-лактамази
Amoxicillin and enzyme inhibitor,Амоксиціллін з інгібітором ферментів
Amphotericin B,Амфотеріцин Б
Ampicillin,Амбіциллін
Ampicillin and enzyme inhibitor,Ампіциллін з інігбітором ферменів
Anagrelide,Анагрелід
Anastrozole,Анастрозол
Anethum graveolens**,Кріп
Anidulafungin,Анідулафунгін
Anisum vulgare**,Аніс
Anti-D (rh) immunoglobulin,Антирезусний імуноглобулін
Antilymphocyte immunoglobulin (horse),Антилімфоцитарний імуноглобулін (конячий)
Antithrombin III,Антітромбін ІІІ
Antithymocyte immunoglobulin (rabbit),Антітімоцитарний імуноглобулін (кролячий)
Antral*,Антраль
Apixaban,Апіксабан
Apomorphine,Апоморфін
Aprepitant,Апрепітант
Aprotinin,Апротінін
Aqua pro injectioni*,Вода для ін’єкцій
Aralia**,Аралія
Arctostaphyos uva-ursi**,Мучниця звичайна
Arginine aspartate*,Аргініну аспартат
Arginine glutamate,Аргініну глутамат
Arginine hydrochloride,Аргініну гідрохлорід
Aripiprazole,Аріпіпразол
Armodafinil,Армодафініл
Aronia melanocarpa**,Горобина чорноплідна
Artemisia absinthium**,Полин гіркий
Articaine,Артікаїн
Artificial tears and other indifferent preparations,Штучна сльоза та інші нейтральні препарати
Ascorbic acid,Аскорбінова кислота
Asparaginase,Аспарагіназа
Aspartic acid*,Аспарагінова кислота
Ataluren,Аталурен
Atazanavir,Атазанавір
Atenolol,Атенолол
Atezolizumab*,Атезолізумаб
Atomoxetine,Атомоксетін
Atorvastatin,Аторвастатін
Atosiban,Атосібан
Atracurium,Атракурін
Atropa belladonna**,Белладонна звичайна
Atropine,Атропін
Avanafil,Аватафіл
Axitinib,Аксінітіб
Azacitidine,Азацитідін
Azapentacene*,Азапентацен
Azathioprine,Азатіопрін
Azelaic acid,Азелаїнова кислота
Azelastine,Азеластін
Azilsartan medoxomil,Азілсартан медоксоміл
Azithromycin,Азітроміцин
BCG vaccine,Вакцина БЦЖ
Bacitracin,Бацитрацин
Baclofen,Баклофен
Barium sulfate,Сульфар барію
Basiliximab,Базіліксімаб
Beclometasone,Белокметазон
Bedaquiline,Бедаквілін
Bemiparin,Беміпарін
Bendamustine,Бендамустін
Bendazol*,Бендазол
Benfotiamine,Бенфотіамін
Benzalkonium,Бензалконій
Benzathine benzylpenicillin,Бензатін бензілпеніциллін
Benzobarbital*,Бензобарбітал
Benzocaine,Бензокаїн
Benzoyl peroxide,Перекис бензолу
Benzydamine,Бензідамін
Benzyl benzoate,Бензіл бензоат
Benzylpenicillin,Бензілпеніциллін
Betacarotene,Бета-каротин
Betahistine,Бетагістін
Betamethasone,Бетаметазон
Betaxolol,Бетаксолол
Betula**,Береза
Bevacizumab,Бевацикумаб
Bibrocathol,Біпрокатол
Bicalutamide,Бікалутамід
Biclotymol*,Біклотімол
Bicyclol*,Біциклол
Bidens tripartia**,Череда трироздільна
Bifonazole,Біфоназол
Bilastine,Біластін
Bimatoprost,Біматопрост
Biotin,Біотін
Biperiden,Біперіден
Bisacodyl,Бісакоділ
Bismuth subcitrate,Вісмуту субцитрат
Bismuth subgalate*,Вісмуту субгалат
Bismuth subnitrate,Вісмуту субнітрат
Bismuth tribromophenate*,Вісмуту трібромофенат
Bisoprolol,Бісопролол
Bleomycin,Блеоміцин
"Blood coagulation factor IX, II and X in combination (human prothrombin complex)","Фактори згортування крові IX, II та Х в комбінаціях (людський протромбіновий комплекс)"
Boric acid,Борна кислота
Bortezomib,Бортезоміб
Bosentan,Босентан
Bosutinib,Босутініб
Botulinum antitoxin,Ботулінічний анатоксін
Botulinum toxin,Ботулінічний токсин
Brentuximab vedotin,Брентуксімаб ветодін
Brimonidine,Брімонідін
Brinzolamide,Брінзоламід
Brivudine,Брівудін
Bromfenac,Бромфенак
Bromhexine,Бромгексін
Bromocriptine,Бромокріптін
Budesonide,Будесонід
Bufexamac,Буфексамак
Bupivacaine,Бупівакаїн
Buprenorphine,Бупренорфін
Buspirone,Буспірон
Butamirate,Бутамірат
Butorphanol,Буторфанол
Butylscopolamine,Бутілскополамін
Cabazitaxel,Кабазітаксель
Cabergoline,Каберголін
Cabozantinib,Кабозантініб
Caffeine,Кофеїн
Calamagrostis epigeios*,Куничник наземний
Calcitriol,Кальцитріол
Calcium carbonate,Кальцію карбонат
Calcium chloride,Кальцію хлорид
Calcium folinate,Кальцію фолінат
Calcium gluconate,Кальцію глюконат
Calcium laevulate,Кальцію левулат
Calcium pantothenate,Кальцію пантотенат
Calendula officinalis**,Календула
Camphora,Камфора
Canakinumab,Канакінумаб
Candesartan,Кандесартан
Cangrelor,Кангерлор
Capecitabine,Капецитабин
Capreomycin,Капреоміцин
Capsella bursa-pastoris**,Грицики звичайні
Capsicum annuum**,Перець овочевий
Captopril,Каптопріл
Carbamazepine,Карбамазепін
Carbamide,Карбамід
Carbetocin,Карбетоцин
Carbidopa,Карбідопа
Carbimazole,Карбімазол
Carbocisteine,Карбоцистеїн
Carbomer*,Карбомер
Carboplatin,Карбоплатін
Cariprazine,Карпіразін
Carmustine,Кармустін
Carnitine*,Карнітін
Carum carvi**,Кмин звичайний
Carvedilol,Карведілол
Caspofungin,Каспофунгін
Castor oil,Касторова олія
Cefalexin,Цефалексін
Cefazolin,Цефазолін
Cefdinir,Цефдінір
Cefditoren,Сефдіторен
Cefepime,Цефепім
Cefixime,Цефіксім
Cefoperazone,Цефоперазон
Cefoperazone and beta-lactamase inhibitor,Цефаперазон та інгібітор бета-лактамази
Cefotaxime,Цефотаксім
Cefpodoxime,Цефподоксім
Ceftazidime,Цефтазідім
Ceftazidime and beta-lactamase inhibitor,Цефатазідім та інгібітор бета-лактамази
Ceftolozane and enzyme inhibitor,Цефлотозан та інгібітор ферменту
Ceftriaxone,Цефтріаксон
Cefuroxime,Цефуроксім
Celecoxib,Целекоксіб
Centaurium**,Золототисячник
Ceritinib,Церітініб
Cerliponase alfa,Цекліпоназа альфа
Cetirizine,Цетірізін
Cetrorelix,Цетрореликс
Cetuximab,Сетуксімаб
Cetylpyridinium,Цетілпірідін
Chelidonium majus**,Чистотіл звичайний
Chlorambucil,Хлор
Chloramphenicol,
Chlorhexidine,
"Chlorhexidine, combinations",
Chlormadinone and ethinylestradiol,
Chlornitrophenol*,
Chlorophyllipt*,
Chloropyramine,
Chlorotrianisene,
Chlorphenamine,
Chlorpromazine,
Chlorprothixene,
Chlorquinaldol,
Chlortalidone,
Chole medicata*,
Choline alfoscerate,
Choline fenofibrate,
Choline salicylate,
Chondroitin sulfate,
Choriogonadotropin alfa,
Chorionic gonadotrophin,
Chymotrypsin,
Cianamid,
Ciclopirox,
Ciclosporin,
Cilostazol,
Cimicifugae rhizoma,
Cinacalcet,
Cinchocaine,
Cineole,
Cinnarizine,
"Cinnarizine, combinations",
Ciprofloxacin,
Ciprofloxacin and ornidazole,
Ciprofloxacin and tinidazole,
Cisplatin,
Citalopram,
Citicoline,
Citrulline*,
Cladribine,
Clarithromycin,
Clavulanic acid,
Clemastine,
Clindamycin,
"Clindamycin, combinations",
Clobetasol,
Clodronic acid,
Clofarabine,
Clofazimine,
Clomifene,
Clomipramine,
Clonazepam,
Clonidine,
Cloperastine,
Clopidogrel,
Clotrimazole,
Clozapine,
Coagulation factor IX,
Coagulation factor VIII,
Cobamamide,
Cobimetinib,
Cocarboxylase*,
Codeine,
Colchicine,
Colecalciferol,
Colestyramine,
Colistin,
Comb drug,
Combinations of imidazole derivatives,
Combinations of vitamins,
Conjugated estrogens and bazedoxifene,
Coriandrum sativum**,
Corifollitropin alfa,
Cough suppressants and expectorants,
Cough suppressants and mucolytics,
Crataegus glycosides,
Cridanimod,
Crizotinib,
Cromoglicic acid,
Cucurbita pero**,
Curcuma longa*,
Cyanocobalamin,
Cyclamen europaeum**,
Cyclobenzaprine,
Cyclopentolate,
Cyclophosphamide,
Cycloserine,
Cynara scolymus**,
Cyproheptadine,
Cyproterone,
Cyproterone and estrogen,
Cysteine*,
Cytarabine,
Cytisine,
Cytochrom C*,
Dabigatran etexilate,
Dabrafenib,
Dacarbazine,
Daclatasvir,
Dactinomycin,
Dalargin*,
Dalteparin,
Dapagliflozin,
Dapoxetine,
Darbepoetin alfa,
Darunavir,
Darunavir and cobicistat,
Dasabuvir,
Dasatinib,
Daucus carota*,
Daunorubicin,
Decamethoxine,
Decitabine,
Deferasirox,
Degarelix,
Delamanid,
Demoxytocin,
Denosumab,
Denotivir*,
Dequalinium,
Deschampsia caespitosa*,
Desloratadine,
Desmopressin,
Desogestrel,
Desogestrel and ethinylestradiol,
Desvenlafaxine,
Dexamethasone,
Dexamethasone and antiinfectives,
"Dexamethasone, combinations",
Dexibuprofen,
Dexketoprofen,
Dexlansoprazole,
Dexmedetomidine,
Dexpanthenol,
Dextran,
Dextromethorphan,
Diacerein,
Diatrizoic acid,
Diazepam,
Diclofenac,
"Diclofenac, combinations",
Dicycloverine,
Didanosine,
Dienogest,
Dienogest and estradiol,
Dienogest and estrogen,
Dienogest and ethinylestradiol,
Digoxin,
Diltiazem,
Dimenhydrinate*,
Dimethyl sulfoxide,
Dimetindene,
Dinoprostone,
Diosmectite,
Diosmin,
"Diosmin, combinations",
Dioxydine*,
Diphenhydramine,
Diphtheria toxoid,
Diphtheria-Hemophilus influenzae B-pertussis-poliomyelitis-tetanus-hepatitis B,
Diphtheria-Hemophilus influenzae B-pertussis-tetanus-hepatitis B,
Diphtheria-hemophilus influenzae B-pertussis-poliomyelitis-tetanus,
Diphtheria-hemophilus influenzae B-pertussis-poliomyelitis-tetanus-hepatitis B,
Diphtheria-pertussis-poliomyelitis-tetanus,
Dipyridamole,
Disulfiram,
Dobutamine,
Docetaxel,
Docosanol,
Docusate sodium,
Dolutegravir,
Dolutegravir and rilpivirine,
Domperidone,
Donepezil,
Dopamine,
Doripenem,
Dornase alfa (desoxyribonuclease),
Dorzolamide,
Doxazosin,
Doxepin,
Doxofylline,
Doxorubicin,
Doxycycline,
Doxylamine,
"Doxylamine, combinations",
Dronedarone,
Drospirenone,
Drospirenone and estrogen,
Drospirenone and ethinylestradiol,
Drotaverine,
Dulaglutide,
Duloxetine,
Dutasteride,
Dydrogesterone,
Dydrogesterone and estrogen,
Ebastine,
Echinacea purpurea**,
Econazole,
Edaravone,
Edaravone*,
Efavirenz,
Electrolytes,
Electrolytes in combination with other drugs,
Electrolytes with carbohydrates,
Eleutherococcus senticosus**,
Elosulfase alfa,
Eltrombopag,
Emicizumab,
Emoxypin*,
Empagliflozin,
Emtricitabine,
"Emtricitabine, tenofovir alafenamide, elvitegravir and cobicistat",
"Emtricitabine, tenofovir disoproxil and efavirenz",
"Emtricitabine, tenofovir disoproxil and rilpivirine",
Enalapril,
Enalapril and diuretics,
Enalapril and lercanidipine,
"Encephalitis, tick borne, inactivated, whole virus",
Enisamium iodide,
Enoxaparin,
Entecavir,
Enzalutamide,
Ephedrine,
Epinephrine,
Epirubicin,
Eplerenone,
Eprosartan,
Eptacog alfa (activated),
Eptifibatide,
Equisetum arvense**,
Erdosteine,
Ergocalciferol,
"Ergotamine, combinations excl. psycholeptics",
Erlotinib,
Ertapenem,
Erythromycin,
"Erythromycin, combinations",
Erythropoietin,
Escitalopram,
Esmolol,
Esomeprazole,
Estradiol,
Estriol,
Etamsylate,
Etanercept,
Etelcalcetide,
Ethacizin*,
Ethambutol,
Ethanol,
Ethionamide,
Etifoxine,
Etodolac,
Etoposide,
Etoricoxib,
Etravirine,
Eucalyptus vitaminalis**,
Everolimus,
Evolocumab,
Exemestane,
Ezetimibe,
Factor VIII inhibitor bypassing activity,
Famciclovir,
Famotidine,
Fat emulsions,
Febuxostat,
Felodipine,
Fenofibrate,
Fenoterol,
Fenoterol and ipratropium bromide,
Fenpiverinium,
Fenspiride,
Fentanyl,
Fenticonazole,
Ferric hydroxide polymaltose complexes*,
Ferric oxide dextran complex*,
Ferric oxide polymaltose complexes,
Ferric oxide polymaltose complexes with folic acid*,
Ferrous citrate,
Ferrous fumarate,
Ferrous sulfate,
Ferrous sulfate with folic acid,
Fexofenadine,
Fidaxomicin,
Filgrastim,
Finasteride,
Fingolimod,
Flecainide,
Flores helianthi**,
Fluconazole,
Fludarabine,
Fludrocortisone,
Flumetasone and antiseptics,
Fluocinolone acetonide,
Fluocinolone acetonide and antibiotics,
Fluocinolone acetonide and antiinfectives,
Fluocinonide,
Fluocinonide and antibiotics,
Fluorouracil,
Fluoxetine,
Fluphenazine,
Flurbiprofen,
Flutamide,
Fluticasone,
Fluticasone furoate,
"Fluticasone, combinations",
Fluvoxamine,
Foeniculum vulgare**,
Folic acid,
Follitropin alfa,
Follitropin beta,
Follitropin delta,
Fondaparinux,
Formic acid*,
Formoterol,
Formoterol and aclidinium bromide,
Formoterol and beclometasone,
Formoterol and budesonide,
Fosamprenavir,
Fosfocreatine,
Fosfomycin,
Fotemustine,
Framycetin,
Frangula alnus**,
Fremanezumab,
Frovatriptan,
Fructose,
Fulvestrant,
Furazidin,
Furazolidone,
Furosemide,
Furosemide and potassium-sparing agents,
Fusidic acid,
G-strophanthin,
Gabapentin,
Gadobenic acid,
Gadobutrol,
Gadoteric acid,
Gadoxetic acid,
Galantamine,
Galavit*,
Galsulfase,
Ganciclovir,
Ganirelix,
Gatifloxacin,
Gefitinib,
Gelatin agents,
Gemcitabine,
Gemigliptin,
Gentamicin,
Gestodene and ethinylestradiol,
Ginkgo folium,
Glatiramer acetate,
Glaucine*,
Glibenclamide,
Gliclazide,
Glimepiride,
Gliquidone,
Glucagon,
Glucosamine,
Glucose,
Glutamic acid*,
Glutathione,
Glutoxim*,
Glycerol,
Glyceryl trinitrate,
Glycine,
Glycine max**,
Glycopyrronium bromide,
Glycyrrhiza**,
Glycyrrhizinic acid*,
Golimumab,
"Gonadotropins, combinations",
Goserelin,
Griseofulvin,
Guaifenesin,
Guanfacine,
Halobetasol propionate*,
Haloperidol,
Harpagophytum procumbens**,
Hederae helicis folium,
Helichrysum arenarium**,
"Hemophilus influenzae B, purified antigen conjugated",
Heparin,
"Heparin, combinations",
"Hepatitis A, inactivated, whole virus",
"Hepatitis B, purified antigen",
Herba Thermopsidis Lanceolatae**,
Herba Violae**,
Hexamethonium bromide*,
Hexamidine,
Hexetidine,
Hexoprenaline,
Hibiscus sabdariffa**,
Hidrosmin,
Hippocastani semen,
Hippophae rhamnoides**,
Histamine dihydrochloride,
Histidine*,
Hopantenic acid*,
House dust mites,
Human menopausal gonadotrophin,
Human plasma proteins*,
Humulus lupulus**,
Hyaluronic acid,
Hyaluronidase,
Hydazepam*,
Hydrochlorothiazide,
Hydrochlorothiazide and potassium-sparing agents,
Hydrocortisone,
Hydrocortisone and antibiotics,
Hydrocortisone butyrate,
Hydrogen peroxide,
Hydrotalcite,
Hydroxycarbamide,
Hydroxychloroquine,
Hydroxyethylstarch,
Hydroxyprogesterone,
Hydroxyzine,
Hyperici herba,
Hypericine*,
Hypericum perforatum**,
Hypromellose,
Ibandronic acid,
Ibuprofen,
"Ibuprofen, combinations",
Ichthammol*,
Idarubicin,
Idarucizumab,
Idebenone,
Idursulfase,
Ifosfamide,
Iloprost,
Imatinib,
Imiglucerase,
Imipenem and cilastatin,
Imipramine,
Imiquimod,
"Immunoglobulins, normal human, for extravascular adm.",
"Immunoglobulins, normal human, for intravascular adm.",
Indacaterol,
Indacaterol and glycopyrronium bromide,
Indapamide,
Indometacin,
Infliximab,
"Influenza, inactivated, split virus or surface antigen",
Inosine,
Inosine pranobex,
Insulin (human),
Insulin (pork),
Insulin aspart,
Insulin degludec,
Insulin degludec and insulin aspart,
Insulin detemir,
Insulin glargine,
Insulin glargine and lixisenatide,
Insulin glulisine,
Insulin lispro,
Interferon alfa-2b,
Interferon beta-1a,
Interferon beta-1b,
Inula helenium**,
Iodine,
Iodixanol,
Iohexol,
Iomeprol,
Iopamidol,
Iopromide,
Ipidacrine,
Ipratropium bromide,
Irbesartan,
Irbesartan and diuretics,
Irinotecan,
"Iron, parenteral preparations",
"Iron, vitamin B12 and folic acid",
Isodibut*,
Isoflurane,
Isoleucine*,
Isoniazid,
Isosorbide dinitrate,
Isosorbide mononitrate,
Isotretinoin,
Isoxsuprine,
Ispaghula (psylla seeds),
Itopride,
Itraconazole,
Ivabradine,
Ivermectin,
Josamycin,
Kanamycin,
Ketamine,
Ketoconazole,
Ketoprofen,
Ketorolac,
Ketotifen,
Khellin*,
Lacosamide,
Lactic acid producing organisms,
"Lactic acid producing organisms, combinations",
Lactobacillus fermentum,
Lactulose,
"Lactulose, combinations",
Laminaria saccharina**,
Lamivudine,
Lamivudine and abacavir,
Lamivudine and tenofovir disoproxil,
"Lamivudine, abacavir and dolutegravir",
"Lamivudine, tenofovir disoproxil and efavirenz",
Lamotrigine,
Lanatozide C,
Lanreotide,
Lansoprazole,
"Lansoprazole, clarithromycin and tinidazole",
Lapatinib,
Laronidase,
Latanoprost,
Lavandulae aetheroleum,
Ledi palustris**,
Leflunomide,
Lenalidomide,
Lenograstim,
Leonurus**,
Lercanidipine,
Lespedeza bicolor**,
Letrozole,
Leuprorelin,
Levamisole,
Levetiracetam,
Levisticum officinale**,
Levocarnitine,
Levocetirizine,
Levodopa,
Levodopa and decarboxylase inhibitor,
"Levodopa, decarboxylase inhibitor and COMT inhibitor",
Levodropropizine,
Levofloxacin,
Levofloxacin and ornidazole,
Levoleucine*,
Levomenthol*,
Levomepromazine,
Levonorgestrel,
Levonorgestrel and ethinylestradiol,
Levosimendan,
Levothyroxine sodium,
Lidocaine,
"Lidocaine, combinations",
Linagliptin,
Lincomycin,
Linezolid,
Linum**,
Liraglutide,
Lisinopril,
Lisinopril and amlodipine,
Lisinopril and diuretics,
Lithium,
Lomefloxacin,
Lomustine,
Loperamide,
"Loperamide, combinations",
Lopinavir and ritonavir,
Loratadine,
Lorazepam,
Lornoxicam,
Losartan,
Losartan and amlodipine,
Losartan and diuretics,
Loxapine,
Lutein*,
Lynestrenol,
Lysine,
Lysozyme,
Macrogol,
"Macrogol, combinations",
Magaldrate,
Magnesium (different salts in combination),
Magnesium aspartate,
Magnesium carbonate,
Magnesium chloride,
Magnesium citrate,
Magnesium hydroxide,
Magnesium lactate,
Magnesium orotate,
Magnesium oxide,
Magnesium pidolate,
Magnesium sulfate,
Malic acid*,
Mannitol,
Maraviroc,
Matricaria chamomilla**,
"Measles, combinations with mumps and rubella, live attenuated",
"Measles, combinations with mumps, rubella and varicella, live attenuated",
"Measles, live attenuated",
Mebendazole,
Mebeverine,
Mebhydrolin,
Mebicar,
Mebifon*,
Mecobalamin,
Medicinal charcoal,
Medroxyprogesterone,
Mefenamic acid,
Megestrol,
Melatonin,
Meldonium,
Meliloti herba**,
Melissa officinalis**,
Meloxicam,
Melphalan,
Memantine,
Menadione,
"Meningococcus A,C,Y,W-135, tetravalent purified polysaccharides antigen conjugated",
Mentha piperita**,
Menthol*,
Mepivacaine,
Mepolizumab,
Mercaptopurine,
Meropenem,
Mesalazine,
Mesna,
Mesterolone,
Metadoxine*,
Metamizole sodium,
"Metamizole sodium, combinations excl. psycholeptics",
"Metamizole sodium, combinations with psycholeptics",
Metformin,
Metformin and dapagliflozin,
Metformin and empagliflozin,
Metformin and saxagliptin,
Metformin and sitagliptin,
Metformin and sulfonamides,
Metformin and vildagliptin,
Methadone,
Methionine,
Methocarbamol,
Methotrexate,
Methoxy polyethylene glycol-epoetin,
Methyl aminolevulinate,
Methyldopa,
Methylergometrine,
Methylii salicylas*,
Methylprednisolone,
Methylprednisolone aceponate,
Methyluracil*,
Metoclopramide,
Metoprolol,
Metoprolol and ivabradine,
Metronidazole,
"Metronidazole, combinations",
Mexidol*,
Mexiletine,
Mianserin,
Micafungin,
Miconazole,
Midecamycin,
Mifamurtide,
Mifepristone,
Milrinone,
Mineral salts in combination,
Minoxidil,
Miocamycin,
Mirabegron,
Mirtazapine,
Misoprostol,
Mitomycin,
Mitoxantrone,
Molsidomine,
Mometasone,
Mono,
Montelukast,
"Montelukast, combinations",
Morphine,
"Morphine, combinations",
Mosapride,
Moxifloxacin,
Moxonidine,
"Multienzymes (lipase, protease etc.)",
"Multivitamins and other minerals, incl. combinations",
Multivitamins and trace elements,
Mupirocin,
Mycophenolic acid,
Myramistin*,
Myristalkonium choride*,
Nabumetone,
Nadroparin,
Naftidrofuryl,
Naftifine,
Nalbuphine,
Naloxone,
Naltrexone,
Nandrolone,
Naphazoline,
Naproxen,
Natamycin,
Natural phospholipids,
Nebivolol,
Nebivolol and thiazides,
Nefopam,
Neomycin,
Neostigmine,
Nepafenac,
Nevirapine,
Nicergoline,
Nicorandil,
Nicotinamide,
Nicotine,
Nicotinic acid,
Nifedipine,
Nifuratel,
Nifuroxazide,
Nikethamide,
Nilotinib,
Nimesulide,
Nimodipine,
Nintedanib,
Nitisinone,
Nitrendipine,
Nitrofural,
Nitrofurantoin,
Nitrous oxide,
Nitroxoline,
Nomegestrol and estradiol,
Norelgestromin and ethinylestradiol,
Norepinephrine,
Norethisterone,
Norfloxacin,
Noscapine,
Nusinersen,
Nystatin,
"Nystatin, combinations",
Obinutuzumab,
Ocrelizumab,
"Octenidine, combinations",
Octreotide,
Ofloxacin,
Ofloxacin and ornidazole,
Olanzapine,
Olaparib,
Oleum Abies**,
Oleum Ricini**,
Olmesartan medoxomil,
Olmesartan medoxomil and amlodipine,
Olmesartan medoxomil and diuretics,
"Olmesartan medoxomil, amlodipine and hydrochlorothiazide",
Olodaterol and tiotropium bromide,
Olopatadine,
Omalizumab,
"Ombitasvir, paritaprevir and ritonavir",
Omega-3-triglycerides incl. other esters and acids,
Omeprazole,
"Omeprazole, amoxicillin and clarithromycin",
Ondansetron,
Ononis arvensis**,
Opium derivatives and expectorants,
Ordinary salt combinations,
Ordinary salt combinations and antiflatulents,
Origanum vulgare**,
Orlistat,
Ornidazole,
Ornithine*,
Orthosiphon stamineus**,
Oseltamivir,
Osimertinib,
Other bacterial vaccines,
Other plasma protein fractions,
Otilonium bromide,
Oxaliplatin,
Oxcarbazepine,
Oxeladin,
Oxolin*,
Oxybuprocaine,
Oxybutynin,
Oxycodone,
Oxygen,
Oxymetazoline,
Oxytetracycline,
Oxytocin,
Paclitaxel,
Paeonia**,
Palbociclib,
Paliperidone,
Palonosetron,
"Palonosetron, combinations",
Pamidronic acid,
Panax ginseng**,
Panitumumab,
Pantoprazole,
Papaverine,
"Papillomavirus (human types 16, 18)",
"Papillomavirus (human types 6, 11, 16, 18)",
Paracetamol,
"Paracetamol, combinations",
"Paracetamol, combinations excl. psycholeptics",
Parecoxib,
Paricalcitol,
Paroxetine,
Pasiflora incarnata**,
Pasireotide,
Pazopanib,
Pegaspargase,
Pegfilgrastim,
Peginterferon alfa-2a,
Peginterferon alfa-2b,
Pegvisomant,
Pelargonii radicis**,
Pelargonii radix**,
Pembrolizumab,
Pemetrexed,
Penciclovir,
Penicillamine,
Pentanedioic acid imidazolyl ethanamide,
Pentetic acid*,
Pentosan polysulfate sodium,
Pentoxifylline,
Perindopril,
Perindopril and amlodipine,
Perindopril and bisoprolol,
Perindopril and diuretics,
"Perindopril, amlodipine and indapamide",
Permethrin,
"Permethrin, combinations",
"Pertussis, inactivated, whole cell, combinations with toxoids",
"Pertussis, purified antigen, combinations with toxoids",
Pertuzumab,
Phaseolus vulgaris**,
Phenazepam*,
Phenazone,
Phenibut,
Phenicaberan*,
Phenindione,
Pheniramine,
Phenobarbital,
Phenol,
Phenyl salicylate,
Phenylalanine*,
Phenylbutazone,
Phenylephrine,
"Phenylephrine, combinations",
Phenytoin,
Phthalylsulfathiazole,
Phytomenadione,
Pilocarpine,
"Pilocarpine, combinations",
Pimecrolimus,
Pinaverium bromide,
Pinus**,
Pioglitazone,
Pioglitazone and alogliptin,
Pipecuronium bromide,
Pipemidic acid,
Piperacillin and enzyme inhibitor,
Piperazinie adipinate,
Piracetam,
Pirfenidone,
Piribedil,
Piroxicam,
Pitavastatin,
Pitofenone,
Pitofenone and analgesics,
Pixantrone,
Plantago**,
Platyphylline*,
"Pneumococcus purified polysaccharides antigen and Haemophilus influenzae, conjugated",
"Pneumococcus, purified polysaccharides antigen conjugated",
Polidocanol,
"Poliomyelitis oral, bivalent, live attenuated",
"Poliomyelitis, trivalent, inactivated, whole virus",
Polygonum aviculare**,
Polygonum hydropiper**,
Polymyxin B,
Polystyrene sulfonate,
Polyvinylpyrolidone*,
Posaconazole,
Potassium Citrate*,
Potassium and magnesium aspartate*,
Potassium aspartate*,
Potassium chloride,
Potassium iodide,
Potassium orotate*,
Potassium permanganate,
Povidone-iodine,
Pramipexole,
Pramiracetam,
Pravastatin and fenofibrate,
Prednicarbate,
Prednisolone,
Prednisone,
Pregabalin,
Prenoxdiazine,
Prifinium bromide,
Prilocaine,
Procainamide,
Procaine,
Procarbazine,
Prochlorperazine,
Progesterone,
Proline*,
Promestriene,
Propafenone,
"Propanol, combinations",
Propofol,
Propolis*,
Propranolol,
Propyphenazone,
"Propyphenazone, combinations with psycholeptics",
Protamine,
Protargol*,
Protionamide,
Proxymetacaine,
Pseudoephedrine,
"Pseudoephedrine, combinations",
Pyrantel,
Pyrazinamide,
Pyridostigmine bromide,
Pyridoxal phosphate,
Pyridoxine (vit B6),
Pyrithione zinc,
Quercetin*,
Quercus**,
Quetiapine,
Quifenadine,
Quinagolide,
Quinapril,
Quinapril and diuretics,
